Category,Disease,Disease fullname,Pathogen,Afflict,EPPO code
FUNGAL DISEASES,Anthracnose,anthracnose of sorghum,Colletotrichum graminicola,Oats,COLLGR
FUNGAL DISEASES,Anthracnose,anthracnose of sorghum,Colletotrichum graminicola,Rye,COLLGR
FUNGAL DISEASES,Anthracnose,anthracnose of crucifers,Colletotrichum higginsianum,Crucifers,COLLHG
FUNGAL AND OOMYCETE DISEASES,Anthracnose,anthracnose of bean,Colletotrichum lindemuthianum,Bean,COLLLD
VIRAL & VIROID DISEASES,Anthracnose,anthracnose of bean,Colletotrichum lindemuthianum,Lentil,COLLLD
FUNGAL AND OOMYCETE DISEASES,Anthracnose,anthracnose of pea,Colletotrichum lindemuthianum,Bean,COLLLD
VIRAL & VIROID DISEASES,Anthracnose,anthracnose of pea,Colletotrichum lindemuthianum,Lentil,COLLLD
FUNGAL DISEASES,Anthracnose,anthracnose of flax,Colletotrichum lini,Flax,COLLLI
UNDETERMINED ETIOLOGY,Anthracnose,anthracnose of banana,Colletotrichum musae,Banana and Plantain,COLLMU
FUNGI,Anthracnose,anthracnose,Colletotrichum trifolii,Alfalfa,COLLTF
FUNGI,Anthracnose,anthracnose of lucerne,Colletotrichum trifolii,Alfalfa,COLLTF
FUNGI,Anthracnose,southern anthracnose of clover,Colletotrichum trifolii,Alfalfa,COLLTF
FUNGAL DISEASES,Southern anthracnose,southern anthracnose of clover,Colletotrichum trifolii,Red Clover,COLLTF
FUNGAL DISEASES,Brand canker,brand canker of rose,Coniothyrium wernsdorffiae,Rose,CONIWE
BACTERIAL DISEASES,Leafy gall,Leafy gall of ornamentals,Rhodococcus fascians,Caneberries,CORBFA
BACTERIAL DISEASES,Fasciation,Fasciation of strawberry,Rhodococcus fascians,Carnation,CORBFA
BACTERIAL DISEASES,Fasciation,Fasciation of strawberry,Rhodococcus fascians,Chrysanthemum,CORBFA
BACTERIAL DISEASES,Leafy gall,Leafy gall of tobacco,Rhodococcus fascians,Caneberries,CORBFA
BACTERIAL DISEASES,Gumming,gumming disease of grasses,Rathayibacter iranicus,Wheat,CORBIR
BACTERIAL DISEASES,Bacterial canker,bacterial canker of tomato,Clavibacter michiganensis,Pepper,CORBMI
VIRAL & VIROID DISEASES,Wood decay,wood decay,Trametes versicolor,Black Walnut,CORLVE
PARASITIC SEED PLANTS,Black rot,black rot of tea,Corticium invisum,Tea,CORTIN
FUNGAL AND OOMYCETE DISEASES,Thread blight,thread blight of coffee,Corticium koleroga,Citrus,CORTKO
MISCELLANEOUS DISEASES AND DISORDERS,Thread blight,thread blight of coffee,Corticium koleroga,Coffee,CORTKO
FUNGAL AND OOMYCETE DISEASES,Thread blight,thread blight of tropical crops,Corticium koleroga,Citrus,CORTKO
MISCELLANEOUS DISEASES AND DISORDERS,Thread blight,thread blight of tropical crops,Corticium koleroga,Coffee,CORTKO
PARASITIC SEED PLANTS,Black rot,black rot of tea,Corticium theae,Tea,CORTTH
FUNGAL DISEASES,Leaf spot,leaf spot of cotton,Corynespora cassiicola,African Violet,CORYCA
FUNGAL DISEASES,Leaf spot,leaf spot of cotton,Corynespora cassiicola,Cattleya Lindl. spp,CORYCA
FUNGAL DISEASES,Leaf spot,leaf spot of tobacco,Corynespora cassiicola,African Violet,CORYCA
FUNGAL DISEASES,Leaf spot,leaf spot of tobacco,Corynespora cassiicola,Cattleya Lindl. spp,CORYCA
FUNGAL DISEASES,Target spot,target spot of cucurbits,Corynespora cassiicola,Cotton,CORYCA
FUNGAL DISEASES,Target spot,target spot of cucurbits,Corynespora cassiicola,Soybean,CORYCA
FUNGAL DISEASES,Target spot,target spot of soybean,Corynespora cassiicola,Cotton,CORYCA
FUNGAL DISEASES,Target spot,target spot of soybean,Corynespora cassiicola,Soybean,CORYCA
FUNGAL DISEASES,Leaf spot,leaf spot of tomato,Corynespora cassiicola,African Violet,CORYCA
FUNGAL DISEASES,Leaf spot,leaf spot of tomato,Corynespora cassiicola,Cattleya Lindl. spp,CORYCA
Stem Rusts,Stalactiform blister rust,stalactiform blister rust of pine,Cronartium coleosporioides,Conifer,CRONCL
Stem Rusts,Comandra blister rust,comandra blister rust of pine,Cronartium comandrae,Conifer,CRONCO
Stem Rusts,Eastern gall rust,Eastern gall rust of pine,Cronartium quercuum,Conifer,CRONQU
UNDETERMINED ETIOLOGY,Leaf spot,leaf spot of maize,Curvularia eragrostidis,Banana and Plantain,CURVER
PARASITIC SEED PLANTS,Root rot,root rot of tea,Cylindrocladiella camelliae,Tea,CYLDCA
PARASITIC SEED PLANTS,Root rot,root rot of araucaria,Cylindrocladium clavatum,Tea,CYLDCL
PARASITIC SEED PLANTS,Root rot,root rot of tea,Cylindrocladium clavatum,Tea,CYLDCL
PARASITIC SEED PLANTS,Root rot,root rot of pine,Cylindrocladium clavatum,Tea,CYLDCL
FUNGAL DISEASES,Sooty blotch,sooty blotch of clover,Polythrincium trifolii,Red Clover,CYMATR
FUNGAL DISEASES,Sheath rot,sheath rot of sugarcane,Cytospora sacchari,Sugarcane,CYTOSA
FUNGAL AND OOMYCETE DISEASES,Mal secco,mal secco of citrus,Plenodomus tracheiphilus,Citrus,DEUTTR
FUNGAL AND OOMYCETE DISEASES,Melanose,melanose of citrus,Diaporthe citri,Citrus,DIAPCI
FUNGAL DISEASES,Stem canker,stem canker of bean,Diaporthe phaseolorum,Soybean,DIAPPH
FUNGAL DISEASES,Fairy-ring leaf spot,fairy-ring leaf spot of carnation,Cladosporium echinulatum,Carnation,DIDMDI
FUNGAL DISEASES,Black spot,black spot of roses,Diplocarpon rosae,Rose,DIPCRO
